#,Código,Endereço,Bairro,Latitude,Longitude,Foto,Croqui
2309,CAM-059,"Rua Ferdinando Darif, 313 - Campina do Siqueira",Campina do Siqueira,"-25,4393015","-49,3053622",Ver foto,ver croqui
2310,SAO-097,"Alameda Júlia da Costa, 3409 - São Francisco",São Francisco,"-25,4393403","-49,3089081",Ver foto,ver croqui
2311,CAM-060,"Alameda Júlia da Costa, 3287 - Campina do Siqueira",Campina do Siqueira,"-25,4388801","-49,308098",Ver foto,ver croqui
2312,CAM-061,"Alameda Júlia da Costa, 3280 - Campina do Siqueira",Campina do Siqueira,"-25,4388123","-49,3076581",Ver foto,ver croqui
2313,SEM-121,"Rua General Mário Tourinho, 1601 - Seminário",Seminário,"-25,4381001","-49,3077171",Ver foto,ver croqui
2314,CAM-062,"Rua Monsenhor Ivo Zanlorenzi, 51 - Campina do Siqueira",Campina do Siqueira,"-25,4377562","-49,3085433",Ver foto,ver croqui
2315,CAM-063,"Rua Monsenhor Ivo Zanlorenzi, 165 - Campina do Siqueira",Campina do Siqueira,"-25,438042","-49,3095303",Ver foto,ver croqui
2316,CAM-064,"Rua Monsenhor Ivo Zanlorenzi, 267 - Campina do Siqueira",Campina do Siqueira,"-25,4384489","-49,3101955",Ver foto,ver croqui
2317,CAM-065,"Rua Major Heitor Guimarães, 1475 - Campina do Siqueira",Campina do Siqueira,"-25,4392822","-49,3102492",Ver foto,ver croqui
2318,CAM-066,"Rua Major Heitor Guimarães, 1548 - Campina do Siqueira",Campina do Siqueira,"-25,4389237","-49,3103886",Ver foto,ver croqui
2319,CAM-067,"Rua General Mário Tourinho, 1678 - Campina do Siqueira",Campina do Siqueira,"-25,4374897","-49,3078352",Ver foto,ver croqui
2320,CAM-068,"Rua General Mário Tourinho, 1738 - Campina do Siqueira",Campina do Siqueira,"-25,4369326","-49,3082643",Ver foto,ver croqui
2321,CAM-069,"Rua Padre Giácomo Cusmano, 200 - Campina do Siqueira",Campina do Siqueira,"-25,4376205","-49,3065638",Ver foto,ver croqui
2322,CAM-070,"Rua Martim Afonso, 3105 - Campina do Siqueira",Campina do Siqueira,"-25,4371555","-49,3069339",Ver foto,ver croqui
